station_id,name,address,lat,lon,is_virtual_station,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,rent_num_right,bilans
3979,GDA151,"Nad Stawem 8, 80-452 Gdańsk",54.383761,18.606117,true,10,3,0,Plaza Brzezno - Molo,3524.613862375467,14635,14529,729,3527,7574,3072,14635,-106
3980,GDA152,"Jana Kilińskiego 2, 80-001 Gdańsk",54.3817683,18.6065998,true,10,0,5,Plaza Brzezno - Molo,3724.2136942850207,7471,6363,569,2001,3577,1498,7471,-1108
3981,GDA153,"Jana Kilińskiego 2, Gdańsk",54.38160126357985,18.60715160906335,true,10,1,1,Plaza Brzezno - Molo,3731.007359015593,14934,13388,1110,3612,7475,3059,14934,-1546
3982,GDA154,Joachima Lelewela 18A,54.3831607,18.6144484,true,10,4,3,Plaza Brzezno - Molo,3447.028983943927,8586,8259,847,2570,3924,1324,8586,-327
3983,GDA155,"Danusi 4D, 80-434 Gdańsk",54.3810278,18.6136476,true,10,6,0,Plaza Brzezno - Molo,3689.7197199031984,7977,7768,826,2508,3713,1132,7977,-209
3984,GDA156,"Aleja Grunwaldzka 141, 80-264 Gdańsk",54.382873,18.5985451,true,10,1,5,Plaza Brzezno - Molo,3806.715030480096,38784,37117,1283,9589,22190,6557,38784,-1667
3985,GDA157,Romana Dmowskiego 11C,54.3812316,18.6054209,true,10,1,12,Plaza Brzezno - Molo,3805.000857115787,12994,11453,1449,3536,5872,2305,12994,-1541
3986,GDA158,Klonowa 4D,54.3810553,18.6052818,true,10,1,10,Plaza Brzezno - Molo,3826.46494978545,12101,11347,953,3308,6074,2093,12101,-754
3987,GDA159,"Aleja Grunwaldzka 117, 80-244 Gdańsk",54.3800692,18.6036406,true,10,3,2,Plaza Brzezno - Molo,3965.166262606016,14863,14274,781,4336,7677,2300,14863,-589
3988,GDA160,Aleja Grunwaldzka 122,54.379909,18.6024964,true,10,0,2,Plaza Brzezno - Molo,4007.578379065556,4754,4170,331,1196,2478,818,4754,-584
3989,GDA161,"Obywatelska 1, 80-259 Gdańsk",54.3807591,18.5936781,true,10,3,0,Plaza Brzezno - Molo,4160.375239255112,4332,3977,386,1176,2086,743,4332,-355
3990,GDA162,Partyzantów 59,54.3790935,18.5952564,true,10,1,0,Plaza Brzezno - Molo,4277.822556893892,5070,4678,610,1625,2321,597,5070,-392
3991,GDA163,"Partyzantów 29, 80-254 Gdańsk",54.3784965,18.6006421,true,10,0,0,Plaza Brzezno - Molo,4197.382121042213,6020,5731,849,2011,2566,680,6020,-289
3992,GDA164,Partyzantów 13C,54.3781091,18.6036896,true,10,2,0,Plaza Brzezno - Molo,4169.813363118484,3058,2936,172,944,1530,470,3058,-122
3993,GDA165,"Brzozowa 1, 80-243 Gdańsk",54.3796897,18.6072603,true,10,5,0,Plaza Brzezno - Molo,3932.304512094201,5040,4723,293,1482,2389,1003,5040,-317
3994,GDA166,"Romana Dmowskiego 17, 80-243 Gdańsk",54.3786475,18.6076413,true,10,7,3,Plaza Brzezno - Molo,4036.8835333775155,7564,6730,383,2182,3781,1345,7564,-834
3995,GDA167,"Aleja Grunwaldzka 92, 80-244 Gdańsk",54.3778801,18.607229,true,10,6,5,Plaza Brzezno - Molo,4126.2537285079525,17013,15775,537,5074,9033,2786,17013,-1238
3996,GDA168,"Aleja Grunwaldzka 78, 80-244 Gdańsk",54.37741252771667,18.608731177632336,true,10,3,1,Plaza Brzezno - Molo,4151.454130046372,11645,11031,370,3209,6569,1702,11645,-614
3997,GDA169,Aleja Grunwaldzka 59,54.3771223,18.6110659,true,10,2,0,Plaza Brzezno - Molo,4148.596030833982,7889,6918,507,2293,4004,1274,7889,-971
3998,GDA170,Aleja Grunwaldzka 62,54.3766916,18.6113386,true,10,4,0,Plaza Brzezno - Molo,4191.838460982058,4158,3287,239,1345,2066,582,4158,-871
3999,GDA171,Stefana Batorego 2C,54.3747027,18.605363,true,10,0,0,Plaza Brzezno - Molo,4499.119972957454,9018,8820,666,3009,4104,1386,9018,-198
4000,GDA172,Adama Mickiewicza 24,54.3832844,18.6225117,true,10,1,2,Plaza Brzezno - Molo,3374.362316399251,11572,11241,1175,3753,5140,1825,11572,-331
4001,GDA173,"Mikołaja Reja 34, 80-557 Gdańsk",54.37943677352865,18.631608086421323,true,10,2,0,Plaza Brzezno - Molo,3828.116648244442,8011,7506,720,2357,4179,890,8011,-505
4002,GDA174,"Stanisława Wyspiańskiego 20a, 80-434 Gdańsk",54.3789441,18.6161891,true,10,2,0,Plaza Brzezno - Molo,3891.5015164554748,7846,7642,730,3089,3006,1162,7846,-204
4003,GDA175,"Stanisława Wyspiańskiego 5A, 80-432 Gdańsk",54.3776101,18.6191375,true,18,1,0,Plaza Brzezno - Molo,4017.6968954507533,7288,6934,761,2588,2916,1221,7288,-354
4004,GDA176,Aleja Generała Józefa Hallera 17,54.3764376,18.6239194,true,10,1,3,Plaza Brzezno - Molo,4133.519685975842,5264,5001,374,1694,2464,873,5264,-263
4005,GDA177,"Kliniczna 1b, 80-402 Gdańsk",54.3757278,18.6265248,true,10,0,2,Plaza Brzezno - Molo,4214.470070391643,4671,4163,743,1293,2130,614,4671,-508
4006,GDA178,"Kliniczna 2A, 80-402 Gdańsk",54.3745445,18.6271898,true,10,0,3,Plaza Brzezno - Molo,4347.531571953508,5507,5378,644,1243,3031,690,5507,-129
