station_id,name,address,lat,lon,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,bilans,total_activity,turnover_rate,morning_ratio,evening_ratio,afternoon_ratio
3889,GDA061,"Lęborska 3B, 80-386 Gdańsk",54.4043222,18.5762904,10,1,0,Plaza Jelitkowo,2802.42866859709,6996,6669,206,1862,4083,980,-327,13665,1366.5,0.26615208690680386,0.1400800457404231,0.5836192109777015
3890,GDA062,"Słupska 26C, 80-392 Gdańsk",54.401667,18.576447,10,2,3,Plaza Jelitkowo,3056.63764881366,6722,5909,504,1645,3600,1165,-813,12631,1263.1,0.24471883368045225,0.1733115144302291,0.5355548943766736
3891,GDA063,"Kołobrzeska 2, 80-390 Gdańsk",54.4015477,18.5771668,10,3,3,Plaza Jelitkowo,3047.4938801988596,10262,9968,604,2851,5159,1867,-294,20230,2023,0.2778210875073085,0.1819333463262522,0.5027285129604365
3892,GDA064,"Szczecińska 23, 80-387 Gdańsk",54.4025834,18.5814932,10,4,2,Plaza Jelitkowo,2827.15356494814,10165,9676,692,3208,4507,1958,-489,19841,1984.1,0.3155927201180521,0.1926217412690605,0.44338416133792424
3893,GDA065,"Aleja Grunwaldzka 472, 80-309 Gdańsk",54.4026628,18.5720424,10,2,0,Plaza Jelitkowo,3103.503408738753,24577,21763,406,4808,18480,1528,-2814,46340,4634,0.19563006062578833,0.062171949383570006,0.7519225291939619
3894,GDA066,"Jana Bażyńskiego 2, 80-309 Gdańsk",54.4009109,18.5737664,10,2,1,Plaza Jelitkowo,3212.8506784792344,11341,9869,465,2327,7026,1747,-1472,21210,2121,0.20518472797813245,0.1540428533639009,0.6195220879992946
3895,GDA067,"Aleja Grunwaldzka 417, 80-309 Gdańsk",54.4009349,18.5749621,10,2,1,Plaza Jelitkowo,3173.356858238195,17794,17209,602,3668,12005,1876,-585,35003,3500.3,0.20613690007867821,0.1054287962234461,0.6746656176239182
3896,GDA068,"Aleja Grunwaldzka 411, 80-309 Gdańsk",54.3986149,18.5762511,10,0,1,Plaza Jelitkowo,3367.312322867594,20521,19589,218,4200,14944,1575,-932,40110,4011,0.20466838848009355,0.07675064568003509,0.7282296184396472
3897,GDA069,"Wita Stwosza 48, 80-308 Gdańsk",54.3988103,18.5683705,10,1,6,Plaza Jelitkowo,3592.46034626205,8503,7865,604,2823,3972,1309,-638,16368,1636.8,0.33200047042220393,0.1539456662354463,0.4671292485005292
3898,GDA070,"Macierzy Szkolnej w Gdańsku 8, 80-308 Gdańsk",54.3959017,18.5707202,10,1,3,Plaza Jelitkowo,3796.450557227496,8600,8260,495,3024,3951,1313,-340,16860,1686,0.3516279069767442,0.15267441860465117,0.4594186046511628
